DeviceToken,os_version
2A768BE9-24E4-4274-AE30-03D07EE1D5B8,Android
CA447E48-E1C4-4F06-BA03-35C029C7E0F8,Android
EB26DDE2-8C75-439B-8FDA-AE838E15E944,iOS
3135D84F-1A08-4CBF-9439-D6C1BA58F4AA,iOS
16B59F05-9FEC-40DA-A181-C42B1AA2B517,Android
9F38CEF9-2128-4774-8E0E-64279FBBCDE7,iOS
9A08F3D5-D607-4A3F-BEE7-2345B898E7A3,Android
9E3B1850-941D-47FD-8DB6-3ECED7406CB9,Android
3F209FA6-0B1D-4743-834F-86F7788A86F5,iOS
98124EEF-8F08-4931-AE7A-A823C4B570A8,iOS
3D4DDA28-DEB0-4212-8E54-FF25F98CC98A,Android
2FA69E7E-A927-4125-821A-D5F5F965418E,iOS
60812629-1316-4FE4-B7CE-6BD6024067AE,iOS
C86A600B-02BF-4DD5-B759-601D9EA1002F,iOS
1C378FC9-2371-4E47-BEF9-50D3003543AE,iOS
5E6E5E3C-F621-4765-96D6-1082EA52E09E,iOS
58156023-B282-48DC-97FC-41FB6B9EB82A,Android
4E1BAFB0-2CE3-4DC6-BD5F-3B89C492F237,Android
B919A8A4-1C97-4EED-8851-7F354B8FFAEC,iOS
430DF1E1-0DA6-4CE9-81E5-B03B7EBA30BB,Android
5160DA53-E5FA-4204-87E6-AD105918DB0A,Android
62E7CBFC-A62C-4DC5-9FE8-A2F94E70FA61,Android
BE92B1D3-4B1F-4438-9185-4CAE100B7694,iOS
A184ED40-8DA0-4C49-BB8B-69C7641A3945,iOS
903D2FA7-BD1C-412A-B5F4-B6DE722A7491,iOS
50B74DD1-AFAF-49E6-9946-DDDE2E218566,Android
16D6FE9D-73D3-47CF-9833-E325B38D7A66,Android
C9F05BEF-78D0-4342-A25B-17DC062256DD,Android
2DFB3194-D68C-405C-8E6F-A8D564231CF6,iOS
5CAB88DE-755D-43A4-AFC8-6566B187F83E,Android
D25CAE64-2517-43F6-B9E7-6928F6AA794B,Android
C6201C97-5D86-42A0-BCA9-875F34D6B781,Android
A0765A8A-4B0D-4699-B2AD-EDA38A75FED2,iOS
42319FEE-AF46-4016-9F0D-724690313F1C,iOS
4AABCA94-9968-427D-8CAE-01B99E1EDC6C,Android
